"lang"
{
	"Language"	"russian"
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_near_Lore"			                                "Ах! Ах! Мы пришли из страны огня и тени. От полуночного солнца, где текут горячие источники"
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_near_cooldown"			                            "Перезарядка: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_near_damage"			                                "Урон: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_near_radius"			                                "Радиус: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_near_stack_damage"			                        "Доп. Урон за стак: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_near_stack_duration"			                        "Длительность стаков: "
	
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_medium"			                                    "Shadowraze"
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_medium_Description"			                        "Shadow Fiend разрушает землю на небольшом расстоянии от него, нанося урон вражеским юнитам в области. Добавляет суммирующийся усилитель урона на цель, который заставляет врага получать дополнительный урон Shadow Raze за стак."
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_medium_Lore"			                                "Молот гибели. Отправим наши корабли в новые земли. Чтобы сражаться за орду, пой и плачьте. Валгалла, я иду"
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_medium_cooldown"			                            "Перезарядка: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_medium_damage"			                            "Урон: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_medium_radius"			                            "Радиус: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_medium_stack_damage"			                        "Доп. Урон за стак: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_medium_stack_duration"			                    "Длительность стаков: "
	
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_far"			                                        "Shadowraze"
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_far_Description"			                            "Shadow Fiend разрушает землю на большем расстоянии от него, нанося урон вражеским юнитам в области. Добавляет суммирующийся усилитель урона на цель, который заставляет врага получать дополнительный урон Shadow Raze за стак."
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_far_Lore"			                                    "Как мягко твои поля такие зеленые. Может шептать рассказы о крови. О том, как мы уничтожили волны войны. Мы ваши повелители"
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_far_cooldown"			                                "Перезарядка: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_far_damage"			                                "Урон: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_far_radius"			                                "Радиус: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_far_stack_damage"			                            "Доп. Урон за стак: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_far_stack_duration"			                        "Длительность стаков: "
	
	"DOTA_Tooltip_Ability_pathfinder_nevermore_necromastery"			                                        "Necromastery"
	"DOTA_Tooltip_Ability_pathfinder_nevermore_necromastery_Description"			                            "Shadow Fiend steals the soul from units he kills, gaining bonus damage. On death, he releases half of them from bondage."
	"DOTA_Tooltip_Ability_pathfinder_nevermore_necromastery_Lore"			                                    "Вы только посмотрите на свои души! Исчезая в этих больших, глупых телах! О, что я могу с ними сделать! Единственное, что я не могу сделать, так это расплатиться ими с японскими якудза. Ха-ха! Они сделали это очень явным ... только для американской валюты."
	"DOTA_Tooltip_Ability_pathfinder_nevermore_necromastery_souls_per_kill"			                            "Душ за убийство: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_necromastery_damage_per_soul"			                        "Доп. Урон за душу: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_necromastery_max_souls"			                                "Максимально душ: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_necromastery_souls_lost_on_death_pct"			                "Процент потерь при смерти: "
	
	"DOTA_Tooltip_Ability_pathfinder_nevermore_dark_lord"			                                            "Presence of the Dark Lord"
	"DOTA_Tooltip_Ability_pathfinder_nevermore_dark_lord_Description"			                                "Присутствие Shadow Fiend снижает броню ближайших врагов."
	"DOTA_Tooltip_Ability_pathfinder_nevermore_dark_lord_Lore"			                                        "Вы думаете, что злой жуткий демон бегает по душам? Потому что это так! Но не совсем. В основном он работает на деньги. Эти октариновые ядра не собираются покупать себя."
	"DOTA_Tooltip_Ability_pathfinder_nevermore_dark_lord_aura_radius"			                                "Радиус Ауры: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_dark_lord_armor_reduction"			                            "Снижение брони: "
	
	"DOTA_Tooltip_Ability_pathfinder_nevermore_requiem"			                                                "Requiem of Souls"
	"DOTA_Tooltip_Ability_pathfinder_nevermore_requiem_Description"			                                    "Shadow Fiend собирает свои захваченные души, чтобы выпустить их в виде волн демонической энергии. Юниты рядом с Shadow Fiend, когда души высвобождаются, могут быть повреждены несколькими волнами. Любого юнита, поврежденного Requiem of Souls, будет бояться, и его скорость передвижения будет снижена. Волны создаются для каждой души, захваченной через Necromastery. Requiem of Souls автоматически произносится всякий раз, когда Shadow Fiend умирает, независимо от его перезарядки."
	"DOTA_Tooltip_Ability_pathfinder_nevermore_requiem_Lore"			                                        "С тех пор, как демонический род впервые подумал о том, чтобы взглянуть на небо, появилась Луна. И вместе с этим возникает вечный вопрос, 'Как мне зажечь луну в огне?'"
	"DOTA_Tooltip_Ability_pathfinder_nevermore_requiem_damage"			                                        "Урон за волну: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_requiem_ms_slow_pct"			                                    "%Замедление скорости передвижения: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_requiem_travel_distance"			                                "Дальности волны: "
	"DOTA_Tooltip_Ability_pathfinder_nevermore_requiem_requiem_slow_duration"			                        "Длительность дебаффа за волну: "	
	"DOTA_Tooltip_Ability_pathfinder_nevermore_requiem_requiem_slow_duration_max"			                    "Макс. Длительность дебаффа: "	
	
	
	//>---------------------------------------
	//>--- MINOR SHARD -----------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_damage"                                               "Shadowraze"  // since minor shard use the unifier name
	"pathfinder_nevermore_shadowraze_damage_value"	                                                            "+{s:value} к урону {s:ability_name}"
	
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_stack_damage"                                         "Shadowraze"
	"pathfinder_nevermore_shadowraze_stack_damage_value"	                                                    "+{s:value} доп. урона за стак {s:ability_name}"
	
	"DOTA_Tooltip_Ability_pathfinder_nevermore_shadowraze_cooldown"                                             "Shadowraze"
	"pathfinder_nevermore_shadowraze_cooldown_value"	                                                        "{s:value}% перезарядки {s:ability_name}"
	
	"pathfinder_nevermore_necromastery_damage_per_soul"			                                                "+{s:value} доп.урон к атаке за душу {s:ability_name}"
	"pathfinder_nevermore_necromastery_max_souls"			                                                    "+{s:value} к макс. количеству душ {s:ability_name}"
	"pathfinder_nevermore_necromastery_souls_per_kill"			                                                "+{s:value} к душам за убийство {s:ability_name}"
	
	"pathfinder_nevermore_dark_lord_aura_radius"			                                                    "+{s:value} к радиусу ауры {s:ability_name}"
	"pathfinder_nevermore_dark_lord_armor_reduction"			                                                "+{s:value} к снижению брони {s:ability_name}"
	
	"pathfinder_nevermore_requiem_damage"			                                                            "+{s:value} к уроны волны {s:ability_name}"
	"pathfinder_nevermore_requiem_pct_cooldown"			                                                        "-{s:value}% перезарядки {s:ability_name}"
	"pathfinder_nevermore_requiem_travel_distance"			                                                    "+{s:value} к дистанции распространения волны {s:ability_name}"
	"pathfinder_nevermore_requiem_ms_slow_pct"			                                                        "+{s:value}% к замедлению передвижения {s:ability_name}"
	"pathfinder_nevermore_requiem_requiem_slow_duration"			                                            "+{s:value} секунд к длительности дебаффа за задетую волну {s:ability_name}"
	
	
	
	//>---------------------------------------
	//>--- BRISTLE SHARD ---------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_shadowraze_damage_value"                                    "Shadowraze - Урон"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_shadowraze_damage_value_Description"			            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает урон Shadowraze на %value%."
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_shadowraze_stack_damage_value"                              "Shadowraze - Бонус урона за стак"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_shadowraze_stack_damage_value_Description"			        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает доп. урон за стак Shadowraze на %value%."
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_shadowraze_cooldown_value"                                  "Shadowraze - Перезарядка"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_shadowraze_cooldown_value_Description"			            "<h1>Обычный Фрагмент Скипетра</h1>Уменьшает перезарядку Shadowraze на %value%%."
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_necromastery_damage_per_soul"                               "Necromastery - Бонус урона от атаки за душу"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_necromastery_damage_per_soul_Description"			        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает доп. урон к атаке за душу Necromastery на %value%."
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_necromastery_max_souls"                                     "Necromastery - Максимальное количество душ"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_necromastery_max_souls_Description"			                "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает макс. количество душ Necromastery на %value%."
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_necromastery_souls_per_kill"                                "Necromastery - Душ за убийство"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_necromastery_souls_per_kill_Description"			        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает души за убийство Necromastery на %value%."
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_dark_lord_aura_radius"                                      "Presence of the Dark Lord - Радуис ауры"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_dark_lord_aura_radius_Description"			                "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает радиус ауры Presence of the Dark Lord на %value%."
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_dark_lord_armor_reduction"                                  "Presence of the Dark Lord - Снижение брони"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_dark_lord_armor_reduction_Description"			            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает снижение брони Presence of the Dark Lord на %value%."
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_requiem_damage"                                             "Requiem of Souls - Урон"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_requiem_damage_Description"			                        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает урон Requiem of Souls на %value%."
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_requiem_travel_distance"                                    "Requiem of Souls - Дистанция распространения волны"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_requiem_travel_distance_Description"			            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает дистанцию распространения волны Requiem of Souls на %value%."
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_requiem_ms_slow_pct"                                        "Requiem of Souls - Процентное замедление передвижения"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_requiem_ms_slow_pct_Description"			                "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает замедление передвижения Requiem of Souls на %value%%."
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_requiem_requiem_slow_duration"                              "Requiem of Souls - Длительность дебаффа"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_requiem_requiem_slow_duration_Description"			        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает длительность дебаффа Requiem of Souls Debuff на %value% секунд."
	
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_requiem_pct_cooldown"                                       "Requiem of Souls - Перезарядка"
	"DOTA_Tooltip_Ability_item_pathfinder_nevermore_requiem_pct_cooldown_Description"			                "<h1>Обычный Фрагмент Скипетра</h1>Уменьшает перезарядку Requiem of Souls на %value%%."
	
			
	//>---------------------------------------
	//>--- TALENT TREE -----------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_pathfinder_nevermore_shadowraze_damage+value"		        "+{s:value} к урона Shadowraze"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_pathfinder_nevermore_necromastery+damage_per_soul"		    "+{s:damage_per_soul} к урона за душу"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_pathfinder_nevermore_dark_lord+aura_radius"	                "Global Presence of the Dark Lord"
	
	
	//>---------------------------------------
	//>--- MODIFIER --------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_modifier_pathfinder_shadowraze_debuff"	                                                    "Razed"
	"DOTA_Tooltip_modifier_pathfinder_shadowraze_debuff_Description"	                                        "Получение дополнительного урона от Shadowrazes"
	
	"DOTA_Tooltip_modifier_pathfinder_nevermore_requiem_debuff"	                                                "Hauling Ass"
	"DOTA_Tooltip_modifier_pathfinder_nevermore_requiem_debuff_Description"	                                    "Скорость передвижения снижена из-за вспышки Shadowfiend"
	
	"DOTA_Tooltip_modifier_pathfinder_necromastery_souls"	                                                    "Necromastery"
	"DOTA_Tooltip_modifier_pathfinder_necromastery_souls_Description"	                                        "Вы думаете, что злой жуткий демон бегает по душам? Потому что это так! Но не совсем. В основном он работает на деньги. Эти октариновые ядра не собираются покупать себя"
	
	"DOTA_Tooltip_modifier_pathfinder_dark_lord_debuff"	                                                        "Presence of the Dark Lord"		
	"DOTA_Tooltip_modifier_pathfinder_dark_lord_debuff_Description"	                                            "Вы только посмотрите на свои души! Исчезая в этих больших, глупых телах! О, что я могу с ними сделать! Единственное, что я не могу сделать, так это расплатиться ими с японскими якудза. Ха-ха! Они сделали это очень явным ... только для американской валюты"		
	
	"DOTA_Tooltip_modifier_pathfinder_requiem_attack"	                                                        "Choo Choo Soul"
	"DOTA_Tooltip_modifier_pathfinder_requiem_attack_Description"	                                            "Выпустив 50 зарядов, выпустите без траты маны на Requiem of Souls"
	
	
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>-NEVERMORE END--------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>-OGRE START-----------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	
	
	//>---------------------------------------
	//>--- LEGENDARY -------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_pathfinder_special_om_multi_multicast"			                        "Casino Royale"
	"DOTA_Tooltip_Ability_pathfinder_special_om_multi_multicast_Description"			            "Последнее срабатывание Multicast имеет шанс %chance%%% снова сработать Multicast. Нет ограничений на то, сколько раз это может происходить"
	
	"DOTA_Tooltip_Ability_pathfinder_special_om_aoe_multicast"			                            "It's All Ogre Now"
	"DOTA_Tooltip_Ability_pathfinder_special_om_aoe_multicast_Description"			                "Multicast пассивно дает Ogre Magi шанс %chance%%% каждую секунду автоматически применить случайную способность или предмет с одной целью на вражеский юнит в радиусе %radius%. Этот эффект может спровоцировать Multicast и полностью игнорирует любые ограничения на перезарядку или дальность применения. Ogre Magi не обязательно должен быть жив, чтобы этот эффект сработал"
	
	"DOTA_Tooltip_Ability_pathfinder_special_om_alive_multicast"			                        "Hey Now, You're an Ogre Star"
	"DOTA_Tooltip_Ability_pathfinder_special_om_alive_multicast_Description"			            "Multicast снижает максимальное здоровье Ogre Magi на %health_penalty%%%, но пассивно дает ему шанс пережить смертельный урон. Спасаясь от смерти, ближайшие враги отбрасываются, и Ogre Magi исцеляется на %heal% здоровья.Этот эффект имеет тот же шанс срабатывания, что и Multicast, и может быть применен Multicast для увеличения количества исцеления"
	
	"DOTA_Tooltip_Ability_pathfinder_special_om_shield_bloodlust"			                        "Ogres Has Layers"
	"DOTA_Tooltip_Ability_pathfinder_special_om_shield_bloodlust_Description"			            "Жажда крови теперь дает выбранному союзнику огненный щит с %layers% слоями, каждый из которых предотвращает единичный урон. Каждый раз, когда кровожадный юнит получает урон, щит немедленно выпускает дальнобойную версию атак Ogre Magi на %targets% ближайших врагов. Эти атаки могут вызвать любой эффект при попадании от способностей и предметов"
	
	"DOTA_Tooltip_Ability_pathfinder_special_om_summoming"			                                "That'll do Donkey, that'll do"
	"DOTA_Tooltip_Ability_pathfinder_special_om_summoming_Description"			                    "Ogre Magi теперь может направлять до% channel_time% секунд для непрерывного вызова взрывоопасных ослов, которые длятся до %channel_time% секунд. Эти невинные существа автоматически ищут ближайших врагов и применяют текущий уровень Fireblast к ближайшему вражескому юниту, когда их убивают"
	"DOTA_Tooltip_Ability_pathfinder_special_om_summoming_interval"			                        "Интервал призыва: "
	"DOTA_Tooltip_Ability_pathfinder_special_om_summoming_channel_time"			                    "Максимальное время использования: "
	"DOTA_Tooltip_Ability_pathfinder_special_om_summoming_lifetime"			                        "Продолжительность жизни осла в секундах: "
	
	"DOTA_Tooltip_Ability_pathfinder_special_om_gold_fireblast"		                            	"All That Glitters Is Gold"
	"DOTA_Tooltip_Ability_pathfinder_special_om_gold_fireblast_Description"			                "С врагов, убитых Fireblast, выпадет бонусное золото для Ogre Magi и его союзников. С вражеских капитанов падает %captain_gold% золота, а с некапитанов падает %creep_gold% золота"
	
	"DOTA_Tooltip_Ability_pathfinder_special_om_aoe_fireblast"		                            	"Get Outta My Swamp"
	"DOTA_Tooltip_Ability_pathfinder_special_om_aoe_fireblast_Description"			                "Fireblast также применяет свой эффект к каждому вражескому юниту в радиусе %aoe% от изначальной цели"
	
	"DOTA_Tooltip_Ability_pathfinder_special_friendly_ignite"			                            "Ogre is Love, Ogre is Life"
	"DOTA_Tooltip_Ability_pathfinder_special_friendly_ignite_Description"			                "После попадания в цель снаряды Ignite дополнительно отскакивают к ближайшему союзному герою, исцеляя его и увеличивая скорость его передвижения на значение способности"
	
	"DOTA_Tooltip_Ability_pathfinder_special_ignite_multismash"			                            "Multi-Smash"
	"DOTA_Tooltip_Ability_pathfinder_special_ignite_multismash_Description"			                "Атаки против подожженных врагов теперь имеют шанс сработать Multicast, в результате чего цель будет поражена несколько раз в быстрой последовательности. Эти дополнительные атаки могут полностью активировать любой эффект при попадании от способностей и предметов"
	
	"DOTA_Tooltip_Ability_pathfinder_special_bloodlust_fear"			                            "The Part Where You Run Away"
	"DOTA_Tooltip_Ability_pathfinder_special_bloodlust_fear_Description"			                "Применение Bloodlust к союзному герою также будет бояться всех врагов в радиусе %radius% вокруг них на %duration% секунд. За исключением боссов, этот эффект работает даже на юнитов с иммунитетом к оглушению"
	
	"DOTA_Tooltip_Ability_pathfinder_special_ignite_fireblast"			                            "Concussion Therapy"
	"DOTA_Tooltip_Ability_pathfinder_special_ignite_fireblast_Description"			                "У вражеских юнитов, пораженных поджигающими снарядами, также есть %chance%%% шанс быть пораженным текущим уровнем Ogre Magi. Этот эффект может провоцировать Multicast"
	
	
	
	
	//>---------------------------------------
	//>--- ABILITY ---------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_ogre_magi_fireblast_lua"                                      			"Fireblast"
	"DOTA_Tooltip_Ability_ogre_magi_fireblast_lua_Description"		                            	"Взрывает вражеский юнит огненной волной, нанося урон и оглушая цель."
	"DOTA_Tooltip_Ability_ogre_magi_fireblast_lua_Lore"		                                    	"Кто-то однажды сказал мне, что мир меня перекатит\nЯ не самый острый инструмент в сарае\nОна выглядела немой с пальцем и большим пальцем\nВ форме буквы 'L' на лбу"
	"DOTA_Tooltip_Ability_ogre_magi_fireblast_lua_stun_duration"		                        	"Длительность оглушения:"
	"DOTA_Tooltip_Ability_ogre_magi_fireblast_lua_fireblast_damage"		                        	"Урон:"
	
	"DOTA_Tooltip_Ability_ogre_magi_ignite_lua"			                                            "Ignite"
	"DOTA_Tooltip_Ability_ogre_magi_ignite_lua_Description"	                                		"Обливает цель и другое случайное существо летучими химикатами, в результате чего они загораются. Цель испытывает сильную боль, получает урон и движется медленнее."
	"DOTA_Tooltip_Ability_ogre_magi_ignite_lua_Lore"		                                    	"Что ж, годы идут, и они не перестают приходить\nПодкормить правила, и я сразу же взялся за дело\nНет смысла не жить ради удовольствия\nТвой мозг становится умным, но твоя голова тупеет"
	"DOTA_Tooltip_Ability_ogre_magi_ignite_lua_duration"		                                	"Длительность:"
	"DOTA_Tooltip_Ability_ogre_magi_ignite_lua_burn_damage"			                                "Урон в секунду:"
	"DOTA_Tooltip_Ability_ogre_magi_ignite_lua_slow_movement_speed_pct"			                    "%Замедление передвижения:"		
	
	"DOTA_Tooltip_Ability_ogre_magi_bloodlust_lua"	                                        		"Bloodlust"
	"DOTA_Tooltip_Ability_ogre_magi_bloodlust_lua_Description"                          			"Вызывает бешенство союзным юнитам, увеличивая его скорость передвижения и скорость атаки. Дает дополнительную скорость атаки, если наложено на самого Ogre."
	"DOTA_Tooltip_Ability_ogre_magi_bloodlust_lua_Lore"		                                    	"Так много нужно сделать, так много увидеть\nТак что плохого в том, чтобы идти по закоулкам?\nТы никогда не узнаешь, если не пойдешь\nТы никогда не засияешь, если не светишься"
	"DOTA_Tooltip_Ability_ogre_magi_bloodlust_lua_bonus_movement_speed"		                    	"%Бонус скорости передвижения:"
	"DOTA_Tooltip_Ability_ogre_magi_bloodlust_lua_bonus_attack_speed"		                    	"Бонус скорости атаки:"
	"DOTA_Tooltip_Ability_ogre_magi_bloodlust_lua_self_bonus"		                                "Доп. бонус к скорости произнесения заклинаний:"		
	"DOTA_Tooltip_Ability_ogre_magi_bloodlust_lua_duration"			                                "Длительность:"	
	
	"DOTA_Tooltip_Ability_ogre_magi_multicast_lua"			                                        "Multicast"
	"DOTA_Tooltip_Ability_ogre_magi_multicast_lua_Description"			                            "Позволяет Ogre Magi использовать свои способности и предметы с одной целью несколько раз при каждом использовании. Также пассивно дает бонус к дальности применения."
	"DOTA_Tooltip_Ability_ogre_magi_multicast_lua_Lore"			                                    "Эй, теперь ты настоящая звезда\nНачни свою игру, иди играй\nЭй, теперь ты рок-звезда\nРазвлекайся, получай деньги\nИ все, что блестит - золото\nТолько падающие звезды ломают стереотипы"
	"DOTA_Tooltip_Ability_ogre_magi_multicast_lua_multicast_2_times"			                    "%2x шанс Multicast:"
	"DOTA_Tooltip_Ability_ogre_magi_multicast_lua_multicast_3_times"			                    "%3x шанс Multicast:"
	"DOTA_Tooltip_Ability_ogre_magi_multicast_lua_multicast_4_times"			                    "%4x шанс Multicast:"
	"DOTA_Tooltip_Ability_ogre_magi_multicast_lua_bonus_cast_range"			                        "Доп. дальность применения:"					
	
	
	//>---------------------------------------
	//>--- MINOR SHARD -----------------------
	//>---------------------------------------
	
	"ogre_magi_fireblast_lua_pct_cooldown"			                                                "-{s:value}% перезарядки {s:ability_name}"
	"ogre_magi_fireblast_lua_stun_duration"			                                                "+{s:value} секунд к длительности оглушения {s:ability_name}"
	"ogre_magi_fireblast_lua_fireblast_damage"			                                            "+{s:value} к урона {s:ability_name}"
	
	"ogre_magi_ignite_lua_pct_cooldown"		                                                    	"-{s:value}% перезарядки {s:ability_name}"
	"ogre_magi_ignite_lua_duration"		                                                        	"+{s:value} секунд к длительности эффекта {s:ability_name}"
	"ogre_magi_ignite_lua_burn_damage"	                                                    		"+{s:value} к урону в секунду {s:ability_name}"
	"ogre_magi_ignite_lua_slow_movement_speed_pct"		                                        	"+{s:value}% к замедлению скорости передвижения {s:ability_name}"
	
	"ogre_magi_bloodlust_lua_pct_cooldown"	                                                		"-{s:value}% перезарядки {s:ability_name}"  
	"ogre_magi_bloodlust_lua_bonus_movement_speed"		                                        	"+{s:value}% к бонусу скорости передвижения {s:ability_name}"
	"ogre_magi_bloodlust_lua_bonus_attack_speed"	                                        		"+{s:value} к бонусу скорости атаки {s:ability_name}"
	"ogre_magi_bloodlust_lua_self_bonus"	                                                		"+{s:value} к бонусу скорости атаки для себя {s:ability_name}"
	"ogre_magi_bloodlust_lua_duration"	                                                    		"+{s:value} секунд к длительности {s:ability_name}"
	
	"ogre_magi_multicast_lua_multicast_2_times"	                                            		"+{s:value}% 2x к щансу Multicast"
	"ogre_magi_multicast_lua_multicast_3_times"		                                            	"+{s:value}% Triple к шансу Multicast"
	"ogre_magi_multicast_lua_multicast_4_times"	                                            		"+{s:value}% Quadruple к шансу Multicast"
	"ogre_magi_multicast_lua_bonus_cast_range"		                                            	"+{s:value} к пассивному бонусу дальности применения"
	
	
	
	//>---------------------------------------
	//>--- BRISTLE SHARD ---------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_item_ogre_magi_fireblast_lua_pct_cooldown"                                "Fireblast: Перезарядка"
	"DOTA_Tooltip_Ability_item_ogre_magi_fireblast_lua_stun_duration"                               "Fireblast: Длительность оглушения"
	"DOTA_Tooltip_Ability_item_ogre_magi_fireblast_lua_fireblast_damage"                            "Fireblast: Урон"
	
	"DOTA_Tooltip_Ability_item_ogre_magi_ignite_lua_pct_cooldown"                                   "Ignite: Перезарядка"
	"DOTA_Tooltip_Ability_item_ogre_magi_ignite_lua_burn_damage"                                    "Ignite: Урон от горения"
	"DOTA_Tooltip_Ability_item_ogre_magi_ignite_lua_slow_movement_speed_pct"                        "Ignite: Замедление скорости передвижения"
	"DOTA_Tooltip_Ability_item_ogre_magi_ignite_lua_duration"                                       "Ignite: Длительность дебаффа"
	
	"DOTA_Tooltip_Ability_item_ogre_magi_bloodlust_lua_pct_cooldown"                                "Bloodlust: Перезарядка"
	"DOTA_Tooltip_Ability_item_ogre_magi_bloodlust_lua_bonus_movement_speed"                        "Bloodlust: Бонус скорости передвижения"
	
	"DOTA_Tooltip_Ability_item_ogre_magi_bloodlust_lua_bonus_attack_speed"                          "Bloodlust: Бонус скорости атаки"
	"DOTA_Tooltip_Ability_item_ogre_magi_bloodlust_lua_self_bonus"                                  "Bloodlust: Бонус скорости атаки для себя"
	"DOTA_Tooltip_Ability_item_ogre_magi_bloodlust_lua_duration"                                    "Bloodlust: Длительность баффа"
	
	"DOTA_Tooltip_Ability_item_ogre_magi_multicast_lua_multicast_3_times"                           "Multicast: 3X Шанс"
	"DOTA_Tooltip_Ability_item_ogre_magi_multicast_lua_multicast_4_times"                           "Multicast: 4X Шанс"
	"DOTA_Tooltip_Ability_item_ogre_magi_multicast_lua_bonus_cast_range"                            "Multicast: Пассивный бонус к дальности применения"
	
	
	"DOTA_Tooltip_Ability_item_ogre_magi_fireblast_lua_pct_cooldown_Description"                    "<h1>Обычный Фрагмент Скипетра</h1>Уменьшает перезарядку Fireblast на %value%%."
	"DOTA_Tooltip_Ability_item_ogre_magi_fireblast_lua_stun_duration_Description"                   "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает длительность оглушения на %value% секунд."
	"DOTA_Tooltip_Ability_item_ogre_magi_fireblast_lua_fireblast_damage_Description"                "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает урон Fireblast на %value%."
	
	"DOTA_Tooltip_Ability_item_ogre_magi_ignite_lua_pct_cooldown_Description"                       "<h1>Обычный Фрагмент Скипетра</h1>Уменьшает перезарядку Ignite на %value%%."
	"DOTA_Tooltip_Ability_item_ogre_magi_ignite_lua_burn_damage_Description"                        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает урон в секунду Ignite на %value%."
